Mark,Competitor,DOB,Nat,Venue,Date,Event,Age,Gender,is_indoor
2.28,Jacques FREITAG,1982-06-11,RSA,Kuortane (FIN),2005-06-26,high jump,23,M,0
2.28,Jaroslav BÁBA,1984-09-02,CZE,Kladno (CZE),2005-07-03,high jump,20,M,0
2.28,László BOROS,1982-02-03,HUN,Debrecen (HUN),2005-07-06,high jump,23,M,0
2.28,Sergey KLYUGIN,1974-03-24,RUS,Tula (RUS),2005-07-13,high jump,31,M,0
2.28,Grégory GABELLA,1980-06-22,FRA,Angers (FRA),2005-07-15,high jump,25,M,0
2.28,Svatoslav TON,1978-10-20,CZE,Zürich (SUI),2005-08-19,high jump,26,M,0
2.28,Víctor MOYA,1982-10-24,CUB,Zürich (SUI),2005-08-19,high jump,22,M,0
2.28,Vyacheslav VORONIN,1974-04-05,RUS,"Boudewijnstadion, Bruxelles (BEL)",2005-08-26,high jump,31,M,0
2.28,Jaroslav BÁBA,1984-09-02,CZE,"Boudewijnstadion, Bruxelles (BEL)",2005-08-26,high jump,20,M,0
2.28,Yuriy KRYMARENKO,1983-08-11,UKR,Berdichev (UKR),2005-09-21,high jump,22,M,0
2.28,Mikhail TSVETKOV,1980-05-04,RUS,Yekaterinburg (RUS) (i),2006-01-07,high jump,25,M,1
2.28,Andrey SILNOV,1984-09-09,RUS,Yekaterinburg (RUS) (i),2006-01-07,high jump,21,M,1
2.28,Pavel FOMENKO,1976-06-29,RUS,Yekaterinburg (RUS) (i),2006-01-07,high jump,29,M,1
2.28,Keith MOFFATT,1984-10-14,USA,"Nashville, TN (USA) (i)",2006-01-08,high jump,21,M,1
2.28,Andrey SILNOV,1984-09-09,RUS,Chelyabinsk (RUS) (i),2006-01-09,high jump,21,M,1
2.28,Andra MANSON,1984-04-30,USA,"Houston, TX (USA) (i)",2006-01-14,high jump,21,M,1
2.28,Ivan UKHOV,1986-03-29,RUS,Třinec (CZE) (i),2006-01-16,high jump,19,M,1
2.28,Tomáš JANKŮ,1974-12-27,CZE,Třinec (CZE) (i),2006-01-16,high jump,31,M,1
2.28,Tora HARRIS,1978-09-21,USA,Ostrava (CZE) (i),2006-01-18,high jump,27,M,1
2.28,Ivan UKHOV,1986-03-29,RUS,Ostrava (CZE) (i),2006-01-18,high jump,19,M,1
2.28,Giulio CIOTTI,1976-10-05,ITA,Ostrava (CZE) (i),2006-01-18,high jump,29,M,1
2.28,Jaroslav BÁBA,1984-09-02,CZE,Ostrava (CZE) (i),2006-01-18,high jump,21,M,1
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,Moskva (RUS) (i),2006-01-21,high jump,25,M,1
2.28,Andrey SILNOV,1984-09-09,RUS,Moskva (RUS) (i),2006-01-24,high jump,21,M,1
2.28,Mikhail TSVETKOV,1980-05-04,RUS,Moskva (RUS) (i),2006-01-24,high jump,25,M,1
2.28,Ivan UKHOV,1986-03-29,RUS,Moskva (RUS) (i),2006-01-24,high jump,19,M,1
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Bydgoszcz (POL) (i),2006-01-25,high jump,20,M,1
2.28,Andriy SOKOLOVSKIY,1978-07-16,UKR,Wuppertal (GER) (i),2006-01-27,high jump,27,M,1
2.28,Nicola CIOTTI,1976-10-05,ITA,Stockholm (SWE) (i),2006-02-02,high jump,29,M,1
2.28,Andrey SILNOV,1984-09-09,RUS,Stockholm (SWE) (i),2006-02-02,high jump,21,M,1
2.28,Jamie NIETO,1976-11-02,USA,Arnstadt (GER) (i),2006-02-04,high jump,29,M,1
2.28,Stefan HOLM,1976-05-25,SWE,Arnstadt (GER) (i),2006-02-04,high jump,29,M,1
2.28,Jaroslav BÁBA,1984-09-02,CZE,Arnstadt (GER) (i),2006-02-04,high jump,21,M,1
2.28,Andrea BETTINELLI,1978-10-06,ITA,Maromme (FRA) (i),2006-02-04,high jump,27,M,1
2.28,Jaroslav BÁBA,1984-09-02,CZE,Weinheim (GER) (i),2006-02-08,high jump,21,M,1
2.28,Fedor GETOV,1984-03-14,RUS,Saransk (RUS) (i),2006-02-09,high jump,21,M,1
2.28,Ştefan VASILACHE,1979-05-09,ROU,Bucureşti (ROU) (i),2006-02-11,high jump,26,M,1
2.28,Roman FRICKE,1977-03-23,GER,Otterberg (GER) (i),2006-02-11,high jump,28,M,1
2.28,Kyriakos IOANNOU,1984-07-26,CYP,Novi Sad (SRB) (i),2006-02-12,high jump,21,M,1
2.28,Wojciech THEINER,1986-06-25,POL,Słupsk (POL) (i),2006-02-12,high jump,19,M,1
2.28,Tomáš JANKŮ,1974-12-27,CZE,Brno (CZE) (i),2006-02-14,high jump,31,M,1
2.28,Naoyuki DAIGO,1981-01-18,JPN,Yokohama (JPN) (i),2006-02-19,high jump,25,M,1
2.28,Robert WOLSKI,1982-12-08,POL,Spala (POL) (i),2006-02-26,high jump,23,M,1
2.28,Mustapha RAÏFAK,1975-09-09,FRA,Aubière (FRA) (i),2006-02-26,high jump,30,M,1
2.28,Ramsay CARELSE,1985-10-30,RSA,Tallinn (EST) (i),2006-02-28,high jump,20,M,1
2.28,Germaine MASON,1983-01-20,GBR,"Austin, TX (USA)",2006-03-25,high jump,23,M,0
2.28,Jessé Farias DE LIMA,1981-02-16,BRA,Sao Leopoldo (BRA),2006-04-22,high jump,25,M,0
2.28,Dusty JONAS,1986-04-19,USA,"Lawrence, KS (USA)",2006-04-22,high jump,20,M,0
2.28,Keith MOFFATT,1984-10-14,USA,"Atlanta, GA (USA)",2006-05-13,high jump,21,M,0
2.28,Germaine MASON,1983-01-20,GBR,"Atlanta, GA (USA)",2006-05-13,high jump,23,M,0
2.28,Wojciech THEINER,1986-06-25,POL,Bielsko-Biala (POL),2006-05-20,high jump,19,M,0
2.28,Haiqiang HUANG,1988-02-08,CHN,Zhengzhou (CHN),2006-05-28,high jump,18,M,0
2.28,Ivan UKHOV,1986-03-29,RUS,Firenze (ITA),2006-06-04,high jump,20,M,0
2.28,Niki PALLI,1987-05-28,ISR,Tel Aviv (ISR),2006-06-12,high jump,19,M,0
2.28,Stefan HOLM,1976-05-25,SWE,Karlskrona (SWE),2006-06-12,high jump,30,M,0
2.28,Andrey SILNOV,1984-09-09,RUS,Tula (RUS),2006-06-15,high jump,21,M,0
2.28,Ivan UKHOV,1986-03-29,RUS,Tula (RUS),2006-06-15,high jump,20,M,0
2.28,Andrey TERESHIN,1982-12-15,RUS,Tula (RUS),2006-06-15,high jump,23,M,0
2.28,Stefan HOLM,1976-05-25,SWE,Warszawa (POL),2006-06-18,high jump,30,M,0
2.28,Andrea BETTINELLI,1978-10-06,ITA,Algiers (ALG),2006-06-22,high jump,27,M,0
2.28,Aleksey DMITRIK,1984-04-12,RUS,Langen (GER),2006-06-25,high jump,22,M,0
2.28,Jessé Farias DE LIMA,1981-02-16,BRA,Langen (GER),2006-06-25,high jump,25,M,0
2.28,Víctor MOYA,1982-10-24,CUB,Bilbao (ESP),2006-07-01,high jump,23,M,0
2.28,Tomáš JANKŮ,1974-12-27,CZE,Viersen (GER),2006-07-02,high jump,31,M,0
2.28,Nicola CIOTTI,1976-10-05,ITA,Viersen (GER),2006-07-02,high jump,29,M,0
2.28,Kabelo KGOSIEMANG,1986-01-07,BOT,Viersen (GER),2006-07-02,high jump,20,M,0
2.28,Oskari FRÖSÉN,1976-01-24,FIN,Turku (FIN),2006-07-02,high jump,30,M,0
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,Norrtälje (SWE),2006-07-03,high jump,25,M,0
2.28,Normunds PŪPOLS,1984-10-05,LAT,Riga (LAT),2006-07-08,high jump,21,M,0
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Tula (RUS),2006-07-16,high jump,22,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,Göteborg (SWE),2006-07-20,high jump,22,M,0
2.28,Andriy SOKOLOVSKIY,1978-07-16,UKR,Kyiv (UKR),2006-07-22,high jump,28,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,"Crystal Palace, London (GBR)",2006-07-28,high jump,22,M,0
2.28,Giulio CIOTTI,1976-10-05,ITA,"Crystal Palace, London (GBR)",2006-07-28,high jump,29,M,0
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,"Crystal Palace, London (GBR)",2006-07-28,high jump,25,M,0
2.28,Keith MOFFATT,1984-10-14,USA,Birmingham (GBR),2006-08-19,high jump,21,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,"Stade Louis II, Monaco (MON)",2006-08-20,high jump,22,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,"Stade Louis II, Monaco (MON)",2006-08-20,high jump,21,M,0
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,"Stade Louis II, Monaco (MON)",2006-08-20,high jump,25,M,0
2.28,Stefan HOLM,1976-05-25,SWE,Helsinki (FIN),2006-08-25,high jump,30,M,0
2.28,Tomáš JANKŮ,1974-12-27,CZE,"Olympic Stadium, Athina (GRE)",2006-09-16,high jump,31,M,0
2.28,Eike ONNEN,1982-08-03,GER,Celle (GER),2006-09-24,high jump,24,M,0
2.28,Jessé Farias DE LIMA,1981-02-16,BRA,Tunja (COL),2006-09-30,high jump,25,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Malmö (SWE) (i),2006-12-31,high jump,21,M,1
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,Moskva (RUS) (i),2007-01-13,high jump,26,M,1
2.28,Peter HORÁK,1983-12-07,SVK,Bratislava (SVK) (i),2007-01-13,high jump,23,M,1
2.28,Tomáš JANKŮ,1974-12-27,CZE,Třinec (CZE) (i),2007-01-25,high jump,32,M,1
2.28,Viktor SHAPOVAL,1979-10-17,UKR,Třinec (CZE) (i),2007-01-25,high jump,27,M,1
2.28,Keith MOFFATT,1984-10-14,USA,"Gainesville, FL (USA) (i)",2007-01-27,high jump,22,M,1
2.28,Andriy SOKOLOVSKIY,1978-07-16,UKR,Arnstadt (GER) (i),2007-02-03,high jump,28,M,1
2.28,Svatoslav TON,1978-10-20,CZE,Brno (CZE) (i),2007-02-06,high jump,28,M,1
2.28,Yuriy KRYMARENKO,1983-08-11,UKR,Brno (CZE) (i),2007-02-06,high jump,23,M,1
2.28,Artsiom ZAITSAU,1984-12-07,BLR,Mogilyov (BLR) (i),2007-02-08,high jump,22,M,1
2.28,Grzegorz SPOSÓB,1976-02-12,POL,Bucureşti (ROU) (i),2007-02-09,high jump,30,M,1
2.28,Andriy SOKOLOVSKIY,1978-07-16,UKR,Bucureşti (ROU) (i),2007-02-09,high jump,28,M,1
2.28,Scott SELLERS,1986-08-16,USA,"Ames, IA (USA) (i)",2007-02-10,high jump,20,M,1
2.28,Andriy SOKOLOVSKIY,1978-07-16,UKR,Sumy (UKR) (i),2007-02-12,high jump,28,M,1
2.28,Ivan ILYICHEV,1986-10-14,RUS,Volgograd (RUS) (i),2007-02-15,high jump,20,M,1
2.28,Aleksey DMITRIK,1984-04-12,RUS,Praha (CZE),2007-02-15,high jump,22,M,0
2.28,Víctor MOYA,1982-10-24,CUB,Novi Sad (SRB) (i),2007-02-23,high jump,24,M,1
2.28,Will LITTLETON,1983-10-14,USA,"Austin, TX (USA)",2007-03-23,high jump,23,M,0
2.28,Kabelo KGOSIEMANG,1986-01-07,BOT,Garbsen (GER),2007-05-20,high jump,21,M,0
2.28,Germaine MASON,1983-01-20,GBR,"Mangueirão, Belém (BRA)",2007-05-20,high jump,24,M,0
2.28,Víctor MOYA,1982-10-24,CUB,"Mangueirão, Belém (BRA)",2007-05-20,high jump,24,M,0
2.28,Tom PARSONS,1984-05-05,GBR,Birmingham (GBR),2007-06-17,high jump,23,M,0
2.28,Stefan HOLM,1976-05-25,SWE,Karlskrona (SWE),2007-06-18,high jump,31,M,0
2.28,Dmytro DEMYANYUK,1983-06-30,UKR,Biala Podlaska (POL),2007-06-23,high jump,23,M,0
2.28,Pavel FOMENKO,1976-06-29,RUS,Moskva (RUS),2007-06-29,high jump,31,M,0
2.28,Andriy SOKOLOVSKIY,1978-07-16,UKR,Moskva (RUS),2007-06-29,high jump,28,M,0
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Moskva (RUS),2007-06-29,high jump,23,M,0
2.28,Aleksander WALERIAŃCZYK,1982-09-01,POL,Poznan (POL),2007-07-01,high jump,24,M,0
2.28,Abderrahmane HAMMAD,1977-05-27,ALG,Algiers (ALG),2007-07-02,high jump,30,M,0
2.28,Stefan HOLM,1976-05-25,SWE,"Stade Olympique de la Pontaise, Lausanne (SUI)",2007-07-10,high jump,31,M,0
2.28,Tomáš JANKŮ,1974-12-27,CZE,"Stade Olympique de la Pontaise, Lausanne (SUI)",2007-07-10,high jump,32,M,0
2.28,Donald THOMAS,1984-07-01,BAH,"Stade Olympique de la Pontaise, Lausanne (SUI)",2007-07-10,high jump,23,M,0
2.28,Oskari FRÖSÉN,1976-01-24,FIN,Donnas (ITA),2007-07-15,high jump,31,M,0
2.28,Samson ONI,1981-06-25,GBR,London (GBR),2007-08-25,high jump,26,M,0
2.28,Andrey TERESHIN,1982-12-15,RUS,Dubnica nad Váhom (SVK),2007-09-16,high jump,24,M,0
2.28,Stefan HOLM,1976-05-25,SWE,Dubnica nad Váhom (SVK),2007-09-16,high jump,31,M,0
2.28,Eduard MALCHENKO,1986-11-24,RUS,Moskva (RUS) (i),2008-01-19,high jump,21,M,1
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,Moskva (RUS) (i),2008-01-19,high jump,27,M,1
2.28,Jesse WILLIAMS,1983-12-27,USA,"Manhattan, KS (USA) (i)",2008-01-19,high jump,24,M,1
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Moskva (RUS) (i),2008-01-25,high jump,23,M,1
2.28,Andrey SILNOV,1984-09-09,RUS,Moskva (RUS) (i),2008-01-25,high jump,23,M,1
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Göteborg (SWE) (i),2008-01-29,high jump,22,M,1
2.28,Víctor MOYA,1982-10-24,CUB,Arnstadt (GER) (i),2008-02-02,high jump,25,M,1
2.28,Donald THOMAS,1984-07-01,BAH,Arnstadt (GER) (i),2008-02-02,high jump,23,M,1
2.28,Eike ONNEN,1982-08-03,GER,Sindelfingen (GER) (i),2008-02-23,high jump,25,M,1
2.28,Dmytro DEMYANYUK,1983-06-30,UKR,Sumy (UKR) (i),2008-02-23,high jump,24,M,1
2.28,Jesse WILLIAMS,1983-12-27,USA,"Boston, MA (USA) (i)",2008-02-24,high jump,24,M,1
2.28,Germaine MASON,1983-01-20,GBR,Kingston (JAM),2008-05-31,high jump,25,M,0
2.28,Eike ONNEN,1982-08-03,GER,Hannover (GER),2008-05-31,high jump,25,M,0
2.28,Tomáš JANKŮ,1974-12-27,CZE,Viersen (GER),2008-06-08,high jump,33,M,0
2.28,Andrii PROTSENKO,1988-05-20,UKR,Velenje (SLO),2008-06-26,high jump,20,M,0
2.28,Jessé Farias DE LIMA,1981-02-16,BRA,São Paulo (BRA),2008-06-28,high jump,27,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Göteborg (SWE),2008-06-28,high jump,23,M,0
2.28,Yuriy KRYMARENKO,1983-08-11,UKR,Kyiv (UKR),2008-07-03,high jump,24,M,0
2.28,Oleksandr NARTOV,1988-05-21,UKR,Kyiv (UKR),2008-07-03,high jump,20,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,"Crystal Palace, London (GBR)",2008-07-25,high jump,23,M,0
2.28,Jaroslav BÁBA,1984-09-02,CZE,"Crystal Palace, London (GBR)",2008-07-25,high jump,23,M,0
2.28,Martyn BERNARD,1984-12-15,GBR,"Stade Louis II, Monaco (MON)",2008-07-29,high jump,23,M,0
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,"Stade Louis II, Monaco (MON)",2008-07-29,high jump,24,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Helsinki (FIN),2008-08-29,high jump,23,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,Shanghai (CHN),2008-09-20,high jump,24,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Shanghai (CHN),2008-09-20,high jump,23,M,0
2.28,Ivan ILYICHEV,1986-10-14,RUS,Moskva (RUS) (i),2009-01-25,high jump,22,M,1
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Göteborg (SWE) (i),2009-01-29,high jump,23,M,1
2.28,Stanislav MALYARENKO,1985-05-19,RUS,Mogilyov (BLR) (i),2009-01-31,high jump,23,M,1
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Moskva (RUS) (i),2009-02-01,high jump,24,M,1
2.28,Viktor SHAPOVAL,1979-10-17,UKR,Banská Bystrica (SVK) (i),2009-02-11,high jump,29,M,1
2.28,Dragutin TOPIĆ,1971-03-12,SRB,Pireaus (GRE) (i),2009-02-21,high jump,37,M,1
2.28,Raul SPANK,1988-07-13,GER,Leipzig (GER) (i),2009-02-22,high jump,20,M,1
2.28,Kyriakos IOANNOU,1984-07-26,CYP,"Peace and Friendship Stadium, Piraeus (GRE) (i)",2009-02-25,high jump,24,M,1
2.28,Naoyuki DAIGO,1981-01-18,JPN,Wakayama (JPN),2009-04-19,high jump,28,M,0
2.28,James WHITE,1992-01-22,USA,"Kansas City, MO (USA)",2009-04-21,high jump,17,M,0
2.28,Keith MOFFATT,1984-10-14,USA,Baie Mahault (FRA),2009-05-01,high jump,24,M,0
2.28,Donald THOMAS,1984-07-01,BAH,Osaka (JPN),2009-05-09,high jump,24,M,0
2.28,Javier BERMEJO,1978-12-23,ESP,Valladolid (ESP),2009-05-09,high jump,30,M,0
2.28,Artsiom ZAITSAU,1984-12-07,BLR,Montgeron (FRA),2009-05-10,high jump,24,M,0
2.28,Keith MOFFATT,1984-10-14,USA,Uberlandia (BRA),2009-05-20,high jump,24,M,0
2.28,Jessé Farias DE LIMA,1981-02-16,BRA,Uberlandia (BRA),2009-05-20,high jump,28,M,0
2.28,Raul SPANK,1988-07-13,GER,Garbsen (GER),2009-05-24,high jump,20,M,0
2.28,Sergey ZASIMOVICH,1986-03-11,KAZ,Hong Kong (HKG),2009-05-30,high jump,23,M,0
2.28,Oleksandr NARTOV,1988-05-21,UKR,Yalta (UKR),2009-06-03,high jump,21,M,0
2.28,Artsiom ZAITSAU,1984-12-07,BLR,Torino (ITA),2009-06-04,high jump,24,M,0
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Göteborg (SWE),2009-06-09,high jump,24,M,0
2.28,Dragutin TOPIĆ,1971-03-12,SRB,Thessaloniki (GRE),2009-06-10,high jump,38,M,0
2.28,Kyriakos IOANNOU,1984-07-26,CYP,Thessaloniki (GRE),2009-06-10,high jump,24,M,0
2.28,Grant LINDSEY,1988-11-11,USA,Burnaby (CAN),2009-06-14,high jump,20,M,0
2.28,Jamie NIETO,1976-11-02,USA,Burnaby (CAN),2009-06-14,high jump,32,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",2009-06-20,high jump,24,M,0
2.28,Grzegorz SPOSÓB,1976-02-12,POL,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",2009-06-20,high jump,33,M,0
2.28,Konstantinos BANIOTIS,1986-11-06,GRE,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",2009-06-20,high jump,22,M,0
2.28,Javier BERMEJO,1978-12-23,ESP,"Estádio Dr. Magalhães Pessoa, Leiria (POR)",2009-06-20,high jump,30,M,0
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Milano (ITA),2009-06-25,high jump,24,M,0
2.28,Lysvanys PÉREZ RODRÍGUEZ,1982-01-24,CUB,Málaga (ESP),2009-06-27,high jump,27,M,0
2.28,Andra MANSON,1984-04-30,USA,"Eugene, OR (USA)",2009-06-28,high jump,25,M,0
2.28,Keith MOFFATT,1984-10-14,USA,"Eugene, OR (USA)",2009-06-28,high jump,24,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,"Eugene, OR (USA)",2009-06-28,high jump,25,M,0
2.28,Konstantinos BANIOTIS,1986-11-06,GRE,Pescara (ITA),2009-07-01,high jump,22,M,0
2.28,Peter HORÁK,1983-12-07,SVK,Bratislava (SVK),2009-07-08,high jump,25,M,0
2.28,Oskari FRÖSÉN,1976-01-24,FIN,Donnas (ITA),2009-07-12,high jump,33,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,"Olympic Stadium, Athina (GRE)",2009-07-13,high jump,25,M,0
2.28,Kyriakos IOANNOU,1984-07-26,CYP,"Olympic Stadium, Athina (GRE)",2009-07-13,high jump,24,M,0
2.28,Artsiom ZAITSAU,1984-12-07,BLR,"Olympic Stadium, Athina (GRE)",2009-07-13,high jump,24,M,0
2.28,Andrey TERESHIN,1982-12-15,RUS,Tel Aviv (ISR),2009-07-14,high jump,26,M,0
2.28,Sylwester BEDNAREK,1989-04-28,POL,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",2009-07-19,high jump,20,M,0
2.28,Trevor BARRY,1983-06-14,BAH,Novo Mesto (SLO),2009-07-22,high jump,26,M,0
2.28,Mickaël HANANY,1983-03-25,FRA,Angers (FRA),2009-07-24,high jump,26,M,0
2.28,Andra MANSON,1984-04-30,USA,"Crystal Palace, London (GBR)",2009-07-25,high jump,25,M,0
2.28,Lysvanys PÉREZ RODRÍGUEZ,1982-01-24,CUB,Barcelona (ESP),2009-07-25,high jump,27,M,0
2.28,Nicola CIOTTI,1976-10-05,ITA,Milano (ITA),2009-08-01,high jump,32,M,0
2.28,Raul SPANK,1988-07-13,GER,"Wattenscheid, Bochum (GER)",2009-08-02,high jump,21,M,0
2.28,Shufeng ZHANG,1985-11-24,CHN,Jinan (CHN),2009-10-23,high jump,23,M,0
2.28,Andrey TERESHIN,1982-12-15,RUS,Ostrava (CZE) (i),2010-01-21,high jump,27,M,1
2.28,Ivan ILYICHEV,1986-10-14,RUS,Wuppertal (GER) (i),2010-01-22,high jump,23,M,1
2.28,Alessandro TALOTTI,1980-10-07,ITA,Hustopeče (CZE) (i),2010-01-23,high jump,29,M,1
2.28,Jaroslav BÁBA,1984-09-02,CZE,Hustopeče (CZE) (i),2010-01-23,high jump,25,M,1
2.28,Samson ONI,1981-06-25,GBR,Hustopeče (CZE) (i),2010-01-23,high jump,28,M,1
2.28,Anton SAYEVICH,1988-06-15,UKR,Zaporozhye (UKR) (i),2010-01-30,high jump,21,M,1
2.28,Kyriakos IOANNOU,1984-07-26,CYP,Arnstadt (GER) (i),2010-02-06,high jump,25,M,1
2.28,Kabelo KGOSIEMANG,1986-01-07,BOT,Arnstadt (GER) (i),2010-02-06,high jump,24,M,1
2.28,Samson ONI,1981-06-25,GBR,Val-de-Reuil (FRA) (i),2010-02-06,high jump,28,M,1
2.28,Jaroslav BÁBA,1984-09-02,CZE,Brno (CZE) (i),2010-02-09,high jump,25,M,1
2.28,Andrey TERESHIN,1982-12-15,RUS,Bydgoszcz (POL) (i),2010-02-10,high jump,27,M,1
2.28,Mickaël HANANY,1983-03-25,FRA,Eaubonne (FRA) (i),2010-02-12,high jump,26,M,1
2.28,Dmytro DEMYANYUK,1983-06-30,UKR,Sumy (UKR) (i),2010-02-19,high jump,26,M,1
2.28,Samson ONI,1981-06-25,GBR,"National Indoor Arena, Birmingham (GBR) (i)",2010-02-20,high jump,28,M,1
2.28,Tom PARSONS,1984-05-05,GBR,"National Indoor Arena, Birmingham (GBR) (i)",2010-02-20,high jump,25,M,1
2.28,Mickaël HANANY,1983-03-25,FRA,Paris (FRA) (i),2010-02-27,high jump,26,M,1
2.28,Jamie NIETO,1976-11-02,USA,"Albuquerque, NM (USA) (i)",2010-02-27,high jump,33,M,1
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,Moskva (RUS) (i),2010-02-28,high jump,25,M,1
2.28,Andrey TERESHIN,1982-12-15,RUS,Moskva (RUS) (i),2010-02-28,high jump,27,M,1
2.28,Ivan ILYICHEV,1986-10-14,RUS,Moskva (RUS) (i),2010-02-28,high jump,23,M,1
2.28,Aleksey DMITRIK,1984-04-12,RUS,Moskva (RUS) (i),2010-02-28,high jump,25,M,1
2.28,Viktor SHAPOVAL,1979-10-17,UKR,Banská Bystrica (SVK) (i),2010-03-04,high jump,30,M,1
2.28,Sergey MUDROV,1990-09-08,RUS,Banská Bystrica (SVK) (i),2010-03-04,high jump,19,M,1
2.28,Derek DROUIN,1990-03-06,CAN,"Fayetteville, AR (USA) (i)",2010-03-13,high jump,20,M,1
2.28,Kyriakos IOANNOU,1984-07-26,CYP,"Aspire Dome, Doha (QAT) (i)",2010-03-14,high jump,25,M,1
2.28,Jesse WILLIAMS,1983-12-27,USA,"Aspire Dome, Doha (QAT) (i)",2010-03-14,high jump,26,M,1
2.28,Kabelo KGOSIEMANG,1986-01-07,BOT,"Aspire Dome, Doha (QAT) (i)",2010-03-14,high jump,24,M,1
2.28,Joe KINDRED,1987-09-15,USA,"Myrtle Beach, SC (USA)",2010-03-20,high jump,22,M,0
2.28,Ricky ROBERTSON,1990-09-19,USA,"Gainesville, FL (USA)",2010-04-03,high jump,19,M,0
2.28,Tom PARSONS,1984-05-05,GBR,Birmingham (GBR),2010-06-02,high jump,26,M,0
2.28,Linus THÖRNBLAD,1985-03-06,SWE,Viersen (GER),2010-06-06,high jump,25,M,0
2.28,Michael MASON,1986-09-30,CAN,Coquitlam (CAN),2010-06-12,high jump,23,M,0
2.28,Aleksandr SHUSTOV,1984-06-29,RUS,"Fana Stadion, Bergen (NOR)",2010-06-19,high jump,25,M,0
2.28,Jaroslav BÁBA,1984-09-02,CZE,"Puskás Ferenc Stadion, Budapest (HUN)",2010-06-19,high jump,25,M,0
2.28,Marco FASSINOTTI,1989-04-29,ITA,Pescara (ITA),2010-06-19,high jump,21,M,0
2.28,Konrad OWCZAREK,1987-12-11,POL,Kutno (POL),2010-06-19,high jump,22,M,0
2.28,Dmytro DEMYANYUK,1983-06-30,UKR,"Meteor, Zhukovskiy (RUS)",2010-06-26,high jump,26,M,0
2.28,Aleksey DMITRIK,1984-04-12,RUS,"Wattenscheid, Bochum (GER)",2010-06-26,high jump,26,M,0
2.28,Martyn BERNARD,1984-12-15,GBR,Birmingham (GBR),2010-06-27,high jump,25,M,0
2.28,Tom PARSONS,1984-05-05,GBR,Birmingham (GBR),2010-06-27,high jump,26,M,0
2.28,Aleksey DMITRIK,1984-04-12,RUS,Moskva (RUS),2010-06-29,high jump,26,M,0
2.28,Filippo CAMPIOLI,1982-02-21,ITA,Grosseto (ITA),2010-07-01,high jump,28,M,0
2.28,Martyn BERNARD,1984-12-15,GBR,La Chaux-de-Fonds (SUI),2010-07-04,high jump,25,M,0
2.28,Konstantinos BANIOTIS,1986-11-06,GRE,Barcelona (ESP),2010-07-09,high jump,23,M,0
2.28,Keith MOFFATT,1984-10-14,USA,Barcelona (ESP),2010-07-09,high jump,25,M,0
2.28,Ivan UKHOV,1986-03-29,RUS,Saransk (RUS),2010-07-14,high jump,24,M,0
2.28,Andrey SILNOV,1984-09-09,RUS,Saransk (RUS),2010-07-14,high jump,25,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,Karlstad (SWE),2010-07-15,high jump,26,M,0
2.28,Andrey SILNOV,1984-09-09,RUS,"Stade Louis II, Monaco (MON)",2010-07-22,high jump,25,M,0
2.28,Jesse WILLIAMS,1983-12-27,USA,"Stade Louis II, Monaco (MON)",2010-07-22,high jump,26,M,0
2.28,Yaroslav RYBAKOV,1980-11-22,RUS,"Stade Louis II, Monaco (MON)",2010-07-22,high jump,29,M,0
2.28,Donald THOMAS,1984-07-01,BAH,Mayagüez (PUR),2010-07-30,high jump,26,M,0
2.28,Trevor BARRY,1983-06-14,BAH,Mayagüez (PUR),2010-07-30,high jump,27,M,0
