Rank,Mark,WIND,Competitor,DOB,,Pos,,Venue,Date,Results Score
2841,8.19,,Bob BEAMON,29 AUG 1946,USA,2q1,,"Estadio Olímpico, Ciudad de México (MEX)",17 OCT 1968,1179
2841,8.19,0.0,Klaus BEER,14 NOV 1942,GDR,2,,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,1179
2841,8.19,,Henry HINES,12 FEB 1949,USA,1,,Athina (GRE),14 JUN 1972,1179
2841,8.19,+2.8,Jean-François BONHÉME,12 JUL 1949,FRA,1,,Colombes (FRA),21 JUL 1973,1163
2841,8.19,+2.8,Jean-François BONHÉME,12 JUL 1949,FRA,1,,Paris (FRA),21 JUL 1973,1163
2841,8.19,,Nenad STEKIĆ,07 MAR 1951,YUG,,,Algiers (ALG),29 AUG 1975,1179
2841,8.19,,João Carlos DE OLIVEIRA,28 MAY 1954,BRA,1,,Ciudad de México (MEX),13 OCT 1975,1179
2841,8.19,+0.4,Jacques ROUSSEAU,10 MAR 1951,FRA,1,,Colombes (FRA),10 JUL 1976,1179
2841,8.19,0.0,Arnie ROBINSON,07 APR 1948,USA,1,,"Rheinstadion, Düsseldorf (GER)",02 SEP 1977,1179
2841,8.19,,Larry MYRICKS,10 MAR 1956,USA,1,,"Los Angeles, CA (USA) (i)",30 JAN 1981,1179
2841,8.19,+1.4,Atanas CHOCHEV,17 JAN 1957,BUL,1,,Sofia (BUL),12 JUL 1981,1179
2841,8.19,,Greg ARTIS,24 SEP 1959,USA,1,,"Murfreesboro, TN (USA) (i)",23 JAN 1982,1179
2841,8.19,,Larry MYRICKS,10 MAR 1956,USA,2,,"New York, NY (USA) (i)",26 FEB 1982,1179
2841,8.19,+1.4,Jason GRIMES,10 SEP 1959,USA,2,,"Walnut, CA (USA)",25 APR 1982,1179
2841,8.19,,Mike CONLEY,05 OCT 1962,USA,2,,"Provo, UT (USA)",04 JUN 1982,1179
2841,8.19,+0.4,Antonio CORGOS,10 MAR 1960,ESP,2,,"Olympic Stadium, Athina (GRE)",09 SEP 1982,1179
2841,8.19,+1.6,Mike MCRAE,09 JUL 1955,USA,1,,San José (USA),05 JUN 1983,1179
2841,8.19,+0.8,Jason GRIMES,10 SEP 1959,USA,2q,,"Indianapolis, IN (USA)",18 JUN 1983,1179
2841,8.19,0.0,Jason GRIMES,10 SEP 1959,USA,1,,Zürich (SUI),24 AUG 1983,1179
2841,8.19,,Larry MYRICKS,10 MAR 1956,USA,1,,Rieti (ITA),04 SEP 1983,1179
2841,8.19,,Mike MCRAE,09 JUL 1955,USA,3,,"Sacramento, CA (USA)",21 JUL 1984,1179
2841,8.19,w,Ron WAYNES,02 SEP 1960,USA,3,,"Lawrence, KS (USA)",19 APR 1985,1149
2841,8.19,,Larry MYRICKS,10 MAR 1956,USA,1,,"Walnut, CA (USA)",28 APR 1985,1179
2841,8.19,+0.9,Sergey LAYEVSKIY,03 MAR 1959,URS,1,,Leningrad (URS),01 AUG 1985,1179
2841,8.19,+0.5,Sergey LAYEVSKIY,03 MAR 1959,URS,1,,Moskva (URS),17 AUG 1985,1179
2841,8.19,NWI,Nenad STEKIĆ,07 MAR 1951,YUG,1,,Formia (ITA),13 JUL 1986,1149
2841,8.19,+1.8,Robert EMMIYAN,16 FEB 1965,URS,1,,Moskva (URS),09 AUG 1986,1179
2841,8.19,+1.8,Jaime JEFFERSON,17 JAN 1962,CUB,2,,Santiago de Cuba (CUB),28 FEB 1987,1179
2841,8.19,+2.8,Giovanni EVANGELISTI,11 SEP 1961,ITA,1,,Milano (ITA),06 JUN 1987,1163
2841,8.19,+2.6,Andrzej KLIMASZEWSKI,14 MAY 1960,POL,1,,Lublin (POL),20 JUN 1987,1164
2841,8.19,+1.1,Jaime JEFFERSON,17 JAN 1962,CUB,1,,Praha (TCH),23 JUN 1987,1179
2841,8.19,+1.2,Mike POWELL,10 NOV 1963,USA,1,,Zagreb (CRO),16 JUL 1987,1179
2841,8.19,+0.8,Robert EMMIYAN,16 FEB 1965,URS,1q1,,"Stadio Olimpico, Roma (ITA)",04 SEP 1987,1179
2841,8.19,+0.3,Giovanni EVANGELISTI,11 SEP 1961,ITA,4,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1179
2841,8.19,+1.0,Robert EMMIYAN,16 FEB 1965,URS,2,,Tokyo (JPN),23 SEP 1987,1179
2841,8.19,+1.2,Eric METCALF,23 JAN 1968,USA,1,,"College Station, TX (USA)",16 APR 1988,1179
2841,8.19,+2.7,Bruny SURIN,12 JUL 1967,CAN,1,,Hamamatsu (JPN),08 MAY 1988,1163
2841,8.19,+3.5,Giovanni EVANGELISTI,11 SEP 1961,ITA,1,,Firenze (ITA),11 MAY 1988,1158
2841,8.19,,Ray HUMPHREY,31 AUG 1965,USA,1,,"New Haven, CT (USA)",21 MAY 1988,1179
2841,8.19,+0.3,Jaime JEFFERSON,17 JAN 1962,CUB,1,,Bratislava (TCH),08 JUN 1988,1179
2841,8.19,-0.4,Emiel MELLAARD,21 MAR 1966,NED,1,,Groningen (NED),17 JUL 1988,1181
2841,8.19,NWI,Marco DELONGE,16 JUN 1966,GDR,1,,Berlin (GDR),27 AUG 1988,1149
2841,8.19,,Larry MYRICKS,10 MAR 1956,USA,1q1,,"Olympic Stadium, Seoul (KOR)",25 SEP 1988,1179
2841,8.19,NWI,Vernon GEORGE,06 OCT 1964,USA,,,"Houston, TX (USA)",21 MAY 1989,1149
2841,8.19,+1.7,Llewellyn STARKS,10 FEB 1967,USA,q,,"Houston, TX (USA)",16 JUN 1989,1179
2841,8.19,+0.3,Larry MYRICKS,10 MAR 1956,USA,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",27 JUN 1989,1179
2841,8.19,+1.6,Jaime JEFFERSON,17 JAN 1962,CUB,4,,Helsinki (FIN),29 JUN 1989,1179
2841,8.19,+0.2,Mike POWELL,10 NOV 1963,USA,2,,Nice (FRA),10 JUL 1989,1179
2841,8.19,,Elmer WILLIAMS,08 OCT 1964,PUR,2,,Bogotá (COL),11 AUG 1989,1179
2841,8.19,+1.4,Francois FOUCHE,05 JUN 1963,RSA,1,,Bloemfontein (RSA),27 APR 1990,1179
2841,8.19,w,Scott SANDERS,02 SEP 1967,USA,1,,"Oxford, OH (USA)",18 MAY 1990,1149
2841,8.19,+1.7,Giovanni EVANGELISTI,11 SEP 1961,ITA,1,,San Giovanni Valdarno (ITA),19 MAY 1990,1179
2841,8.19,w,Mike POWELL,10 NOV 1963,USA,q,,"Norwalk, CA (USA)",15 JUN 1990,1149
2841,8.19,+1.9,Francois FOUCHE,05 JUN 1963,RSA,,,Johannesburg (RSA),30 MAR 1991,1179
2841,8.19,+0.8,Larry MYRICKS,10 MAR 1956,USA,1,,Vigo (ESP),23 JUL 1991,1179
2841,8.19,+0.1,Mike POWELL,10 NOV 1963,USA,3q2,,"National Stadium, Tokyo (JPN)",29 AUG 1991,1179
2841,8.19,+0.6,Llewellyn STARKS,10 FEB 1967,USA,1,,Barcelona (ESP),20 SEP 1991,1179
2841,8.19,+0.5,Bin XU,04 AUG 1970,CHN,1,,Wuhan (CHN),17 OCT 1992,1179
2841,8.19,,Stanislav TARASENKO,22 JUL 1966,RUS,1,,Moskva (RUS) (i),28 FEB 1993,1179
2841,8.19,,Kareem STREETE-THOMPSON,30 MAR 1973,USA,1,,"Atlanta, GA (USA) (i)",05 MAR 1994,1179
2841,8.19,-0.3,Konstantinos KOUKODIMOS,14 SEP 1969,GRE,1,,Rethymno (GRE),21 MAY 1994,1180
2841,8.19,+0.7,Dietmar HAAF,06 MAR 1967,GER,1,,Schwieberdingen (GER),02 JUN 1994,1179
2841,8.19,-0.3,Erick WALDER,05 NOV 1971,USA,1,,Tallinn (EST),02 AUG 1994,1180
2841,8.19,+1.2,Iván PEDROSO,17 DEC 1972,CUB,,,São Paulo (BRA),14 MAY 1995,1179
2841,8.19,+1.9,Spyridon VASDEKIS,23 JAN 1970,GRE,1,,Budapest (HUN),09 JUL 1995,1179
2841,8.19,+1.6,Georg ACKERMANN,13 JUL 1972,GER,1,,Malles Venosta (ITA),15 JUL 1995,1179
2841,8.19,,Iván PEDROSO,17 DEC 1972,CUB,1,,Paris (FRA) (i),11 FEB 1996,1179
2841,8.19,+2.5,Sean ROBBINS,09 OCT 1972,USA,2,,"Knoxville, TN (USA)",13 APR 1996,1164
2841,8.19,+1.5,Nélson FERREIRA,1973,BRA,2,,Bratislava (SVK),29 MAY 1996,1179
2841,8.19,+1.0,Aleksandr ZHARKOV,16 APR 1971,RUS,1,,Rostov (RUS),14 JUN 1996,1179
2841,8.19,+0.6,Emmanuel BANGUÉ,21 JUL 1971,FRA,4,,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,1179
2841,8.19,,Mattias SUNNEBORN,27 SEP 1970,SWE,2,,Stockholm (SWE) (i),20 FEB 1997,1179
2841,8.19,+1.2,Roland MCGHEE,15 OCT 1971,USA,3,,Rio de Janeiro (BRA),04 MAY 1997,1179
2841,8.19,+2.8,Daisuke WATANABE,29 MAY 1975,JPN,1,,Shirai-Cho (JPN),08 JUN 1997,1163
2841,8.19,+1.0,Kirill SOSUNOV,01 NOV 1975,RUS,3,,Stockholm (SWE),07 JUL 1997,1179
2841,8.19,+0.4,Cheikh Tidiane TOURE,25 JAN 1970,SEN,1,,Antananarivo (MAD),03 SEP 1997,1179
2841,8.19,+0.7,Joan Lino MARTÍNEZ,17 JAN 1978,CUB,1,,La Habana (CUB),20 FEB 1998,1179
2841,8.19,+5.9,Chris WRIGHT,08 AUG 1971,BAH,2,,"Buffalo, NY (USA)",04 JUN 1998,1144
2841,8.19,+1.5,James BECKFORD,09 JAN 1975,JAM,2,,Ostrava (CZE),11 JUN 1998,1179
2841,8.19,,Erick WALDER,05 NOV 1971,USA,2,,Gent (BEL) (i),19 FEB 1999,1179
2841,8.19,,James BECKFORD,09 JAN 1975,JAM,3,,Liévin (FRA) (i),21 FEB 1999,1179
2841,8.19,,Yago LAMELA,24 JUL 1977,ESP,1,,Sevilla (ESP) (i),21 FEB 1999,1179
2841,8.19,+2.6,Kofi Amoah PRAH,20 DEC 1974,GER,2,,Erfurt (GER),03 JUL 1999,1164
2841,8.19,+2.4,Ian LOWE,23 FEB 1973,CAN,1,,"Flagstaff, AZ (USA)",17 JUL 1999,1165
2841,8.19,+0.1,Jai TAURIMA,26 JUN 1972,AUS,3,,Zürich (SUI),11 AUG 1999,1179
2841,8.19,+1.9,Richard DUNCAN,25 DEC 1973,CAN,1,,"Houston, TX (USA)",25 MAR 2000,1179
2841,8.19,-0.1,Roman SHCHURENKO,14 SEP 1976,UKR,2,,Chania (GRE),14 JUN 2000,1179
2841,8.19,+1.7,Savanté STRINGFELLOW,06 NOV 1978,USA,q,,"Sacramento, CA (USA)",15 JUL 2000,1179
2841,8.19,-0.6,Kofi Amoah PRAH,20 DEC 1974,GER,5,,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1182
2841,8.19,+2.8,Walter DAVIS,02 JUL 1979,USA,2,,"Eugene, OR (USA)",31 MAY 2001,1163
2841,8.19,+4.0,Gregor CANKAR,25 JAN 1975,SLO,1,,Celje (SLO),09 JUN 2001,1155
2841,8.19,-0.2,James BECKFORD,09 JAN 1975,JAM,2q2,,"Commonwealth Stadium, Edmonton (CAN)",09 AUG 2001,1180
2841,8.19,+4.5,Chris TOMLINSON,15 SEP 1981,GBR,2,,Ashford (GBR),11 AUG 2001,1152
2841,8.19,+1.4,Savanté STRINGFELLOW,06 NOV 1978,USA,2,,Melbourne (AUS),09 SEP 2001,1179
2841,8.19,+1.6,Miguel PATE,13 JUN 1979,USA,,,"Des Moines, IA (USA)",26 APR 2002,1179
2841,8.19,+1.6,Raúl FERNÁNDEZ,08 MAR 1978,ESP,1,,Almería (ESP),13 JUL 2002,1179
2841,8.19,,Danil BURKENYA,20 JUL 1978,RUS,1,,Cheboksary (RUS),14 JUL 2002,1179
2841,8.19,+0.8,Osbourne MOXEY,27 AUG 1978,BAH,1,,"San Antonio, TX (USA)",09 AUG 2002,1179
2841,8.19,+0.6,Iván PEDROSO,17 DEC 1972,CUB,2,,"CM, Madrid (ESP)",20 SEP 2002,1179
2841,8.19,,Valeriy VASYLYEV,21 APR 1976,UKR,2,,Zaporozhye (UKR) (i),02 MAR 2003,1179
2841,8.19,+2.2,Yann DOMENECH,17 MAR 1979,FRA,1,,Bron (FRA),29 MAY 2003,1166
2841,8.19,+3.0,Ignisious GAISAH,20 JUL 1983,GHA,2,,Chania (GRE),09 JUN 2003,1161
2841,8.19,+1.3,Oleksiy LUKASHEVYCH,11 JAN 1977,UKR,4,,Trikala (GRE),24 JUN 2003,1179
2841,8.19,+1.1,Ignisious GAISAH,20 JUL 1983,GHA,1,,Malles Venosta (ITA),12 JUL 2003,1179
2841,8.19,+1.8,Oleksiy LUKASHEVYCH,11 JAN 1977,UKR,1,,Gateshead (GBR),13 JUL 2003,1179
2841,8.19,+0.5,Yago LAMELA,24 JUL 1977,ESP,1,,Salamanca (ESP),15 JUL 2003,1179
2841,8.19,+2.1,Jonathan CHIMIER,06 AUG 1982,MRI,3,,Narbonne (FRA),25 JUL 2003,1167
2841,8.19,+1.5,Ignisious GAISAH,20 JUL 1983,GHA,1,,Helsinki (FIN),18 AUG 2003,1179
2841,8.19,+0.8,Yago LAMELA,24 JUL 1977,ESP,1q1,,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,1179
2841,8.19,+2.0,Louis TSATOUMAS,12 FEB 1982,GRE,,,Chania (GRE),28 JUN 2004,1179
2841,8.19,+1.5,Hussein Taher AL SABEE,14 NOV 1979,KSA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 2004,1179
2841,8.19,+0.8,Yann DOMENECH,17 MAR 1979,FRA,3,,Sotteville-lès-Rouen (FRA),18 JUL 2004,1179
2841,8.19,0.0,James BECKFORD,09 JAN 1975,JAM,1,,Tallinn (EST),21 JUL 2004,1179
2841,8.19,+1.7,Vitaliy SHKURLATOV,25 MAY 1979,RUS,1,,Tula (RUS),31 JUL 2004,1179
2841,8.19,+0.8,Miguel PATE,13 JUN 1979,USA,2,,Linz (AUT),23 AUG 2005,1179
2841,8.19,+1.5,Tommi EVILÄ,06 APR 1980,FIN,,,Göteborg (SWE),27 AUG 2005,1179
2841,8.19,,Andrew HOWE,12 MAY 1985,ITA,3,,"Olimpiyskiy Stadion, Moskva (RUS) (i)",11 MAR 2006,1179
2841,8.19,+1.8,Mohamed Salman AL KHUWALIDI,19 JUN 1981,KSA,1,,Riyadh (KSA),05 APR 2006,1179
2841,8.19,+2.4,James BECKFORD,09 JAN 1975,JAM,1,,Cork (IRL),01 JUL 2006,1165
2841,8.19,+1.6,Gable GARENAMOTSE,28 FEB 1977,BOT,2,,Bad Langensalza (GER),08 JUL 2006,1179
2841,8.19,+0.6,Fabrice LAPIERRE,17 OCT 1983,AUS,1,,Nuoro (ITA),12 JUL 2006,1179
2841,8.19,+1.3,Miguel PATE,13 JUN 1979,USA,1,,"Eugene, OR (USA)",08 AUG 2006,1179
2841,8.19,+0.6,Andrew HOWE,12 MAY 1985,ITA,4,,Zürich (SUI),18 AUG 2006,1179
2841,8.19,+3.5,James BECKFORD,09 JAN 1975,JAM,3,,Bad Langensalza (GER),07 JUL 2007,1158
2841,8.19,+1.1,John MOFFITT,12 DEC 1980,USA,1,,Nuoro (ITA),11 JUL 2007,1179
2841,8.19,+1.0,Andrew HOWE,12 MAY 1985,ITA,1,,Rieti (ITA),11 AUG 2007,1179
2841,8.19,+0.8,Christian REIF,24 OCT 1984,GER,2q1,,"Yanmar Stadium Nagai, Osaka (JPN)",29 AUG 2007,1179
2841,8.19,-0.1,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,5,,"Yanmar Stadium Nagai, Osaka (JPN)",30 AUG 2007,1179
2841,8.19,0.0,Mohamed Salman AL KHUWALIDI,19 JUN 1981,KSA,1,,Cairo (EGY),21 NOV 2007,1179
2841,8.19,+0.3,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,1,,Germiston (RSA),22 FEB 2008,1179
2841,8.19,+1.1,Hussein Taher AL SABEE,14 NOV 1979,KSA,1,,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1179
2841,8.19,+1.3,Ibrahim CAMEJO,28 JUN 1982,CUB,1,,Barcelona (ESP),19 JUL 2008,1179
2841,8.19,+0.6,Ngonidzashe MAKUSHA,11 MAR 1987,ZIM,4,,"National Stadium, Beijing (CHN)",18 AUG 2008,1179
2841,8.19,+6.0,Jeff HENDERSON,19 FEB 1989,USA,1,,"Baton Rouge, LA (USA)",18 APR 2009,1143
2841,8.19,+2.0,Salim SDIRI,26 OCT 1978,FRA,2,,Ostrava (CZE),17 JUN 2009,1179
2841,8.19,+0.1,Louis TSATOUMAS,12 FEB 1982,GRE,4,,"Stadio Olimpico, Roma (ITA)",10 JUL 2009,1179
2841,8.19,+2.5,Ndiss Kaba BADJI,21 SEP 1983,SEN,2,,Beograd (SRB),12 JUL 2009,1164
2841,8.19,+0.3,Tommi EVILÄ,06 APR 1980,FIN,1,,Espoo (FIN),01 AUG 2009,1179
2841,8.19,,Brian JOHNSON,05 MAR 1980,USA,1,,"Baton Rouge, LA (USA) (i)",19 FEB 2010,1179
2841,8.19,,Fabrice LAPIERRE,17 OCT 1983,AUS,1q2,,"Aspire Dome, Doha (QAT) (i)",12 MAR 2010,1179
2841,8.19,0.0,Irving SALADINO,23 JAN 1983,PAN,1,,Panama City (PAN),16 APR 2010,1179
2841,8.19,+0.9,Christian TAYLOR,18 JUN 1990,USA,2f2,,"Knoxville, TN (USA)",15 MAY 2010,1179
2841,8.19,+1.9,Trevell QUINLEY,16 JAN 1983,USA,4,,"Hayward Field, Eugene, OR (USA)",03 JUL 2010,1179
2841,8.19,+1.5,Luvo MANYONGA,08 JAN 1991,RSA,1,,Bottrop (GER),09 JUL 2010,1179
2841,8.19,+2.2,Kafétien GOMIS,23 MAR 1980,FRA,2,,Valence (FRA),10 JUL 2010,1166
2841,8.19,+2.9,Tommi EVILÄ,06 APR 1980,FIN,1,,Lappeenranta (FIN),15 JUL 2010,1162
2841,8.19,NWI,Mohamed FATHALLAH DHIFALLAH,26 AUG 1987,EGY,1,,Cairo (EGY),07 MAY 2011,1149
2841,8.19,+3.3,Tarik BATCHELOR,22 MAR 1990,JAM,2,,"Athens, GA (USA)",14 MAY 2011,1160
2841,8.19,-0.1,Xiongfeng SU,21 MAR 1987,CHN,2,,"Shanghai Stadium, Shanghai (CHN)",15 MAY 2011,1179
2841,8.19,+1.4,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1179
2841,8.19,-0.8,Louis TSATOUMAS,12 FEB 1982,GRE,2,,Kalamata (GRE),04 JUN 2011,1183
2841,8.19,+1.4,Michel TORNÉUS,26 MAY 1986,SWE,2,,"Olympiastadion, Stockholm (SWE)",18 JUN 2011,1179
2841,8.19,+3.2,Will CLAYE,13 JUN 1991,USA,2,,"Hayward Field, Eugene, OR (USA)",25 JUN 2011,1160
2841,8.19,+3.7,Ignisious GAISAH,20 JUL 1983,GHA,4,,Bad Langensalza (GER),02 JUL 2011,1157
2841,8.19,+1.0,Xiongfeng SU,21 MAR 1987,CHN,1,,Kobe (JPN),10 JUL 2011,1179
2841,8.19,+0.7,Irving SALADINO,23 JAN 1983,PAN,3,,"Olympiastadion, Stockholm (SWE)",29 JUL 2011,1179
2841,8.19,+0.8,Greg RUTHERFORD,17 NOV 1986,GBR,3,,"Crystal Palace, London (GBR)",05 AUG 2011,1179
2841,8.19,0.0,Aleksandr MENKOV,07 DEC 1990,RUS,6,,"DS, Daegu (KOR)",02 SEP 2011,1179
2841,8.19,+0.6,Christian REIF,24 OCT 1984,GER,7,,"DS, Daegu (KOR)",02 SEP 2011,1179
2841,8.19,+3.4,Marquise GOODWIN,19 NOV 1990,USA,1,,"Manhattan, KS (USA)",12 MAY 2012,1159
2841,8.19,+3.4,Eusebio CÁCERES,10 SEP 1991,ESP,1,,Sueca (ESP),09 JUN 2012,1159
2841,8.19,+0.2,Zarck VISSER,15 SEP 1989,RSA,1,,Pretoria (RSA),02 MAR 2013,1179
2841,8.19,+4.0,Ignisious GAISAH,20 JUL 1983,NED,5,,Bad Langensalza (GER),15 JUN 2013,1155
2841,8.19,+1.9,Ron TAYLOR,13 AUG 1990,USA,1,,"Chula Vista, CA (USA)",19 JUL 2013,1179
2841,8.19,+1.0,Zarck VISSER,15 SEP 1989,RSA,1,,Lapinlahti (FIN),21 JUL 2013,1179
2841,8.19,+2.1,Will CLAYE,13 JUN 1991,USA,1,,"National Stadium, Kingston (JAM)",03 MAY 2014,1167
2841,8.19,+1.9,Kafétien GOMIS,23 MAR 1980,FRA,2,,Pierre Bénite (FRA),13 JUN 2014,1179
2841,8.19,+1.1,Greg RUTHERFORD,17 NOV 1986,GBR,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014,1179
2841,8.19,+0.5,Will CLAYE,13 JUN 1991,USA,1,,Linz (AUT),14 JUL 2014,1179
2841,8.19,-0.5,Louis TSATOUMAS,12 FEB 1982,GRE,1q2,,"Letzigrund, Zürich (SUI)",15 AUG 2014,1182
2841,8.19,-0.3,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,1,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2014,1180
2841,8.19,+1.9,Ignisious GAISAH,20 JUL 1983,NED,2,,"Clermont, FL (USA)",18 APR 2015,1179
2841,8.19,-2.4,Marquis DENDY,17 NOV 1992,USA,1,,"Starkville, MS (USA)",15 MAY 2015,1193
2841,8.19,-0.9,Michael HARTFIELD,29 MAR 1990,USA,1,,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1184
2841,8.19,,Changzhou HUANG,20 AUG 1994,CHN,1,,Nanjing (CHN) (i),03 MAR 2016,1179
2841,8.19,,Jeff HENDERSON,19 FEB 1989,USA,4,,"Oregon Convention Center, Portland, OR (USA) (i)",20 MAR 2016,1179
2841,8.19,0.0,Jeff HENDERSON,19 FEB 1989,USA,2,,"Long Beach, CA (USA)",16 APR 2016,1179
2841,8.19,+0.7,Marquis DENDY,17 NOV 1992,USA,3,,Baie Mahault (FRA),14 MAY 2016,1179
2841,8.19,+2.0,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,Kalamata (GRE),28 MAY 2016,1179
2841,8.19,0.0,Marquise GOODWIN,19 NOV 1990,USA,2,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1179
2841,8.19,+0.1,Ankit SHARMA,20 JUL 1992,IND,1,,Almaty (KAZ),26 JUN 2016,1179
2841,8.19,+1.0,Higor ALVES,23 FEB 1994,BRA,1,,Sao Bernardo do Campo (BRA),01 JUL 2016,1179
2841,8.19,+2.0,Jeff HENDERSON,19 FEB 1989,USA,,,"Hayward Field, Eugene, OR (USA)",03 JUL 2016,1179
2841,8.19,+2.5,Michel TORNÉUS,26 MAY 1986,SWE,1q1,,"Olympisch Stadion, Amsterdam (NED)",06 JUL 2016,1164
2841,8.19,+0.8,Emiliano LASA,25 JAN 1990,URU,1,,São Paulo (BRA),18 FEB 2017,1179
2841,8.19,+0.8,Yaoguang ZHANG,21 JUN 1993,CHN,4,,"Shanghai Stadium, Shanghai (CHN)",13 MAY 2017,1179
2841,8.19,+1.9,Juan Miguel ECHEVARRÍA,11 AUG 1998,CUB,1,,St-Martin (FRA),13 MAY 2017,1179
2841,8.19,+1.0,Godfrey Khotso MOKOENA,06 MAR 1985,RSA,1f1,,Weinheim (GER),27 MAY 2017,1179
2841,8.19,0.0,Aleksandr MENKOV,07 DEC 1990,RUS,1,,Yerino (RUS),10 JUN 2017,1179
2841,8.19,+0.3,Jarrion LAWSON,06 MAY 1994,USA,1,,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1179
2841,8.19,,William WILLIAMS,31 JAN 1995,USA,1,,"College Station, TX (USA) (i)",09 MAR 2018,1179
2841,8.19,+2.5,Timothy DUCKWORTH,18 JUN 1996,GBR,3,,"Knoxville, TN (USA)",12 MAY 2018,1164
2841,8.19,-0.7,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,Chania (GRE),19 MAY 2018,1183
2841,8.19,+1.3,Jeff HENDERSON,19 FEB 1989,USA,4,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1179
2841,8.19,+1.0,Changzhou HUANG,20 AUG 1994,CHN,3,,Guiyang (CHN),16 JUN 2018,1179
2841,8.19,0.0,Tajay GAYLE,02 AUG 1996,JAM,1,,Bellinzona (SUI),18 JUL 2018,1179
2841,8.19,+1.9,Alexsandro MELO,26 SEP 1995,BRA,1,,Bragança Paulista (BRA),16 SEP 2018,1179
2841,8.19,,Miltiadis TENTOGLOU,18 MAR 1998,GRE,1,,Pireaus (GRE) (i),10 FEB 2019,1179
2841,8.19,+0.5,Miltiadis TENTOGLOU,18 MAR 1998,GRE,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2019,1179
2841,8.19,-0.1,Héctor SANTOS,06 JAN 1998,ESP,2,,"Gunder Hägg Stadion, Gävle (SWE)",12 JUL 2019,1179
2841,8.19,+1.4,Eusebio CÁCERES,10 SEP 1991,ESP,,,Soria (ESP),04 AUG 2019,1179
2841,8.19,+1.3,Henry FRAYNE,14 APR 1990,AUS,1,,Monachil (ESP),17 AUG 2019,1179
2841,8.19,-0.4,Luvo MANYONGA,08 JAN 1991,RSA,4,,"Letzigrund, Zürich (SUI)",29 AUG 2019,1181
2841,8.19,,Carey MCLEOD,14 APR 1998,JAM,1,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1179
2841,8.19,,Marquis DENDY,17 NOV 1992,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",21 FEB 2021,1179
2841,8.19,,Yuki HASHIOKA,23 JAN 1999,JPN,1,,"Osaka Castle Hall, Osaka (JPN) (i)",18 MAR 2021,1179
2841,8.19,+4.5,Rayvon GREY,02 DEC 1997,USA,2,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1152
2841,8.19,+1.9,Rayvon ALLEN,14 JUN 1999,USA,2,,"RV Christian Track, Manhattan, KS (USA)",15 MAY 2021,1179
2841,8.19,+0.9,Changzhou HUANG,20 AUG 1994,CHN,1,,"Shangyu Stadium, Shaoxing (CHN)",13 JUN 2021,1179
2841,8.19,+0.4,Damarcus SIMPSON,14 JUL 1993,USA,4,,"Hayward Field, Eugene, OR (USA)",27 JUN 2021,1179
2841,8.19,,Jarrion LAWSON,06 MAY 1994,USA,1,,"The Podium, Spokane, WA (USA) (i)",27 FEB 2022,1179
2841,8.19,,Jarrion LAWSON,06 MAY 1994,USA,4,,"Štark Arena, Beograd (SRB) (i)",18 MAR 2022,1179
2841,8.19,+0.6,Rayvon GREY,02 DEC 1997,USA,1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1179
2841,8.19,,Thobias MONTLER,15 FEB 1996,SWE,1,,"Sätrahallen, Stockholm (SWE) (i)",29 JAN 2023,1179
2841,8.19,,Carey MCLEOD,14 APR 1998,JAM,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2023,1179
2841,8.19,,Thobias MONTLER,15 FEB 1996,SWE,2,,"Ataköy Arena, Istanbul (TUR) (i)",05 MAR 2023,1179
2841,8.19,+1.3,Jeremiah DAVIS,31 AUG 2001,USA,1,,"Percy Beard Track, Gainesville, FL (USA)",14 APR 2023,1179
2841,8.19,+2.2,Christopher MITREVSKI,12 JUL 1996,AUS,1,,"Kuortaneen keskusurheilukenttä, Kuortane (FIN)",17 JUN 2023,1166
